Madagascar 100%,,,,,,,ESP LTD SC-607B 7-String Baritone 
Maralumi,,,,,,,ESP LTD Viper-100FM 
Amazon,,,,,,,ESP LTD Deluxe MH-1000 Electric Guitar with EMGs
Ecuador 50,,,,,,,ESP MH-50 Electric Guitar with Tremolo
Madagascar,,,,,,,ESP EC-50 
Porcelana,,,,,,,ESP F-50 
Gran Kru,,,,,,,ESP LTD MH-103 Quilted Maple 
Fave di Cacao,,,,,,,ESP LTD EC-401 
IG/65-96,,,,,,,ESP LTD EC-256FM 
Java w/ Coffee /Cinnamon,,,,,,,ESP KH-2 Kirk Hammett Signature Series
Aliseo,,,,,,,EVH Striped Series 
Haselnuss,,,,,,,Fender Classic Series '50s Stratocaster 
Hamakua Cacáo,,,,,,,Fender Deluxe Series Nashville Telecaster 
Stratus,,,,,,,Fender Deluxe Player's Stratocaster 
Green,,,,,,,Fender Classic Series '72 Telecaster Thinline Natural 
Extra Bitter,,,,,,,Fender Classic Series '72 Telecaster Deluxe 
Toffee & Coriander,,,,,,,Fender Artist Series Buddy Guy Polka Dot Stratocaster 
Macuro,,,,,,,Fender Classic Player Jazzmaster Special 
Guanaja Grué,,,,,,,Fender Artist Series Jimmie Vaughan Tex-Mex Stratocaster Black 
Vista Alegre,,,,,,,Fender Artist Series Stevie Ray Vaughan Stratocaster 
Iara 90,,,,,,,Fender Classic Player Jazzmaster Special 
Peru 40,,,,,,,Fender Artist Series Jimmie Vaughan Tex-Mex Stratocaster Black 
Trincheras 70%,,,,,,,Fender Artist Series Stevie Ray Vaughan Stratocaster 
Macaibo,,,,,,,Fender Artist Series Robert Cray Stratocaster Electric Guitar 3-Color Sunburst
Nibs,,,,,,,Fender Classic Series '50s Telecaster 
Ocumare 72,,,,,,,Fender Artist Series Eric Johnson Stratocaster Black Maple Fretboard
White Nacional,,,,,,,Fender Artist Series Eric Clapton Stratocaster Black 
Canoabo 70%,,,,,,,Fender American Nashville B-Bender Tele 
Kanahiku; Hapalua,,,,,,,Fender Artist Series Jeff Beck Stratocaster 
MILK TRIO: Milch 'dark style',,,,,,,Fender CD140SCE
Reis dunkel,,,,,,,Fender CD-160SE 12-String
Reis Weiß,,,,,,,Fender Special Edition Custom Telecaster FMT HH 
Blend No. 1,,,,,,,Fender Jim Adkins JA-90 Telecaster 
Esmeraldas,,,,,,,Fender FA-100 with Gig Bag
Merideña w/ Nibs,,,,,,,Fender Tim Armstrong Hellcat 
Coffee,,,,,,,Fender FA135CE Concert 
Occumare,,,,,,,Fender MC-1 3/4 Size Nylon String 
Arcana 3-100,,,,,,,G&L Legacy with Tinted Maple Neck
Peru Nacional,,,,,,,G&L S-500 Deluxe 
Papua Kerafat 68%,,,,,,,G&L Tribute Series Legacy with Flamed Maple Top
Apotequil 72,,,,,,,G&L ASAT Classic Electric Guitar
Carenero,,,,,,,Giannini CDR-PRO Nylon String 
Dark Milk,,,,,,,Gibson Limited Edition J-45 Mahogany Top Slope Shoulder 
Chili & Highland Whisky,,,,,,,Gibson 2016 J-45 Standard Slope Shoulder Dreadnought 
Blanco de Criollo,,,,,,,Gibson 2015 Les Paul Studio 
Dark Milk with Flor de Sal,,,,,,,Gibson 2014 Les Paul Futura Plain Top 
Jamaica,,,,,,,Gibson 2016 Firebird 
Grenada,,,,,,,Gibson 2016 Les Paul Studio Faded Series 
Peru,,,,,,,Gitane D-500 Grande Bouche Gypsy Jazz 
Venezuela,,,,,,,Godin 5th Avenue Archtop 
Ecuador,,,,,,,Godin LGXT AAA Flamed Maple Top
Ivory Coast,,,,,,,Godin xtSA Flame 
Silvestre Selva Prototypes,,,,,,,Godin A6 Ultra HG Semi
Claudio Corallo,,,,,,,Godin Multiac Grand Concert Duet Ambiance Nylon String High Gloss Lightburst 
Panama 40,,,,,,,Godin ACS-SA Nylon String Cedar Top 
Vietnam,,,,,,,Godin 5th Avenue Kingpin Archtop Hollowbody With P-90 Pickup Black 
Vanilla,,,,,,,Godin 5th Avenue CW Kingpin II Archtop 
Bianco,,,,,,,Gretsch Guitars G100CE Synchromatic Archtop 
Cranberry Mandarin,,,,,,,Gretsch Guitars Jim Dandy Flat Top
Chuao,,,,,,,Gretsch Guitars G5031FT Rancher 
Venezuelan Black,,,,,,,Gretsch Guitars G5425 Electromatic Jet Club 
Weiße,,,,,,,Gretsch Guitars G5135 Electromatic CVT
Balao 75%,,,,,,,Gretsch Guitars G6128T-TVP Power Jet with Bigsby
Choroní,,,,,,,Gretsch Guitars G6199 Billy-Bo Jupiter Thunderbird 
Beans-Caramelized,,,,,,,Gretsch Guitars Special Edition G5422T Electromatic Hollowbody 
Caracas,,,,,,,Guild M-120 
Amina,,,,,,,Guild F-150CE 
Ocumare 61,,,,,,,Guild Starfire IV ST Semi-Hollowbody 
Dominican 70% Guananico,,,,,,,Hagstrom Viking Semi-Hollowbody 
Kaori,,,,,,,Hagstrom Swede 
Jamaica,,,,,,,Hagstrom Swede Left Handed 
Dark,,,,,,,Hofner Solid Cedar Top Laurel Body Classical 
Merideña,,,,,,,Hohner HAG-250P 1/2-Size Parlor 
Dark-Milk 50%,,,,,,,Hohner A+ 3/4 Size Nylon String 
Guasare,,,,,,,Ibanez Talman TCM50 Cutaway 
Chuao,,,,,,,Ibanez EW2012ASENT 12-String Exotic Wood 
Heirloom Maunawili,,,,,,,Ibanez AW54CEOPN Artwood Solid Top Dreadnought 
60% Dark Milk,,,,,,,Ibanez PF Series PF15ECE Dreadnought Cutaway 
Bahias; Madagascars,,,,,,,Ibanez PN15 Parlor Size 
Porcelana,,,,,,,Ibanez V70CE 
Madagascar 75,,,,,,,Ibanez Talman TCY10 
N-Ration,,,,,,,Ibanez Artcore AF75 Hollowbody 
Chuao Village,,,,,,,Ibanez Artcore Series AF75TDGIV Hollowbody 
White with Nibs,,,,,,,Ibanez Artcore AS73 
Madagascan 71,,,,,,,Ibanez Artcore Expressionist AG95 Hollowbody 
Sur del Lago,,,,,,,Ibanez GRGM21 Mikro 
Ambanja,,,,,,,Ibanez GRX20 
Amazonas with Nibs,,,,,,,Ibanez JS1200 Joe Satriani Signature Guitar
Amma 85%,,,,,,,Ibanez JSM100VT John Scofield Signature 
Dark-Milk,,,,,,,Ibanez Artcore AG75 
Femmes de Virunga,,,,,,,Ibanez EGEN8 Herman Li Signature 
Rustic Crunch,,,,,,,Italia Maranello '61 Semi-Hollow 
Bourbon Barrel Aged,,,,,,,Italia Modena Classic Left-Handed 
Quevedo,,,,,,,Jackson USA Select SL2H Soloist
Caffe Nero,,,,,,,Jackson JS32TQ Dinky DKA Quilt Maple Top 
Tarakan,,,,,,,Jackson JS32T Rhoads 
Javagrey,,,,,,,Jackson Kelly KEXMG 
Pistachio & Apricots,,,,,,,Jackson RRXT Rhoads X Series 
Dark-Milk / Black Licorice,,,,,,,Jasmine JO-37CE Orchestra 
Lait Bolivie Sauvage,,,,,,,Jasmine JC-25
Trincheras 95%,,,,,,,Jasmine S35 Bundle
Chuao,,,,,,,Kremona S58C 3/4 Scale 
Marañón (Dark & Milk),,,,,,,Kremona F65CW Fiesta Cutaway 
Milk Chocolates,,,,,,,Kremona Solea 
Belize MMC,,,,,,,La Patrie Collection
Mara,,,,,,,La Patrie Etude QI 
Iara Pur,,,,,,,La Patrie Concert 
Noisettes Lait,,,,,,,La Patrie Hybrid CW Nylon-String 
Milk Chocolate,,,,,,,Lucero LC100 
Santander 75%,,,,,,,Line 6 JTV-59 Variax 
Oialla,,,,,,,Line 6 James Tyler Variax JTV-89F 
Jamaica Bean,,,,,,,Luna Guitars Safari Dragonfly 3/4 Size Travel 
Ocumare 70%,,,,,,,Luna Guitars Fauna Dragon Folk
Nac'l Mash,,,,,,,Luna Guitars Gypsy Series Gypsy Muse Dreadnought 
Silvestre,,,,,,,Luna Guitars Gypsy Spalt Grand Concert 
Cappuccino,,,,,,,Luna Guitars Muse Series Folk Cutaway Nylon-String 
Cacao Bisiesto,,,,,,,Luna Guitars Muse 12-String 
Southern 7,,,,,,,Manuel Rodriguez Caballero 11 Cedar Top 
Saint Lucia Marcial,,,,,,,Manuel Rodriguez Manuel Rodriguez Cabellero 8S Solid top Natural Full Size
Belize Maya Mountain,,,,,,,Martin Standard Series D-28 Dreadnought 
Madagascar,,,,,,,Martin 16 Series D-16GT Dreadnought 
Esmeraldas 77%,,,,,,,Martin Standard Series D-35 Dreadnought 
Vila Gracinda,,,,,,,Martin 16 Series D-16RGT Dreadnought
Dark,,,,,,,Martin SWDGT Sustainable Wood Series Dreadnought 
Bianco Mentha,,,,,,,Martin Standard Series 000-28 
Ecuador 100,,,,,,,Martin Custom D Classic Mahogany Dreadnought 
Salt & Pepper,,,,,,,Martin Custom MMV Dreadnought 
Guadalcanal,,,,,,,Martin Custom DSR Dreadnought 
'Alae 'Ula,,,,,,,Martin X Series 2015 LXME Little Martin 
Cocoa Nuts,,,,,,,Martin X Series 2015 X1-DE Custom Dreadnought 
Roasted White,,,,,,,Martin 15 Series D15M Dreadnought 
Somia; Pichanaki Milk; Chuao,,,,,,,Mitchell MD100 Dreadnought 
Esmeralda Lait,,,,,,,Mitchell MD300S Solid Spruce Top 
Oialla 100,,,,,,,Mitchell MO100S Solid-Top 
Apotequil 62,,,,,,,Mitchell MO100SPK Folk Acoustic Guitar Pack
85%,,,,,,,Mitchell Element Series ME1CE Dreadnought Cutaway 
Piura,,,,,,,Ovation Celebrity Elite 
Kokos,,,,,,,Ovation Standard Balladeer 2771 AX 
Upala 70% Nib,,,,,,,Ovation Standard Elite 2778 AX 
Cashew & Cranberry,,,,,,,PRS SE Santana 
Rose und Basilikum,,,,,,,PRS SE 245 
Nanea 85%,,,,,,,PRS S2 Starla 
Sur del Lago,,,,,,,PRS S2 Mira Semi-Hollow 
White Chocolate with Nibs,,,,,,,RainSong Hybrid Series H-DR1100N2 Dreadnought 
Madagascar 66%,,,,,,,RainSong Concert Series CO-WS1000N2 Graphite 
Milk Chocolate,,,,,,,RainSong Hybrid Series H-WS1000N2 Deep Body Cutaway 
Los Colorados,,,,,,,Recording King ROS-16 Century Series 12th Fret OOO Solid-Top 
Various Bars,,,,,,,Recording King Dirty Thirties Dreadnought Solid Top
Vietnams,,,,,,,Recording King ROS-06 Classic Series 12th Fret OOO Solid-Top 
4 PERUS:,,,,,,,Recording King RD-316 Dreadnought 
Toumi,,,,,,,Rogue RG-624 Left-Handed Dreadnought 
Viracocho,,,,,,,Rogue RR100 Rocketeer 
Yvan,,,,,,,Rogue Rocketeer Deluxe 
Quilla,,,,,,,Rogue RA-100D Dreadnought 
Caffe Latte,,,,,,,Rogue RA-090 Dreadnought 
Nicaragua 80,,,,,,,Rogue Starter 
Nibs & Sea Salt,,,,,,,Rogue Rocketeer Electric Guitar Pack
The BOSS,,,,,,,Rogue Acoustic Guitar and Mandolin Pack
Encyclopedia of Chocolates,,,,,,,Schecter Guitar Research Corsair 
Goddess Milk,,,,,,,Schecter Guitar Research Ultracure Robert Smith Signature Model 
Little Big Man,,,,,,,Schecter Guitar Research Blackjack SLS C-1 Active See-Thru Blue Burst 
Iara 82% and 62%,,,,,,,Schecter Guitar Research Hellcat VI 
Ocumare,,,,,,,Schecter Guitar Research Hellraiser C-1 
Porcelana,,,,,,,Schecter Guitar Research Contoured Exotic Top
Vivani 85%,,,,,,,Schecter Guitar Research Omen Extreme-6 
White Nibble,,,,,,,Seagull S6 Entourage 
Dominican,,,,,,,Seagull Slim Dreadnought QI EQ
Citric Nibs,,,,,,,Seagull S6 Original Q1
Olivia 76%,,,,,,,Seagull The Original S6 
Grenada,,,,,,,Seagull Cedar Slim Acoustic Dreadnought
Hanf und Mocca,,,,,,,Seagull Artist Mosaic 
Combava & Pink Pepper,,,,,,,Squier Affinity Series Telecaster Special 
Noir Papouasie Nouvelle Guinee,,,,,,,Squier Classic Vibe Stratocaster '60s 
'Ele'ele,,,,,,,Squier J5 Telecaster 
Salt & Nibs,,,,,,,Squier Bullet Strat with Tremolo
Gran Blanco,,,,,,,Squier Classic Vibe Telecaster '50s 
Đắk Lắk,,,,,,,Squier Mini Strat 
Puerto Cabello,,,,,,,Squier Standard Telecaster
Vanilla Milk Choc,,,,,,,Squier Affinity Series Telecaster 
Trintade,,,,,,,Squier Standard Stratocaster 
Gelb Krokant,,,,,,,Squier Standard Stratocaster Left-Handed
Blanco con Fresa,,,,,,,Squier Affinity Series Stratocaster 
Tokiala Milk Chocolate,,,,,,,Takamine EF341SC Legacy Series 
Nibs,,,,,,,Takamine EF508KC NEX Legacy Series All Koa 
Various Bars,,,,,,,Takamine EF360SC 
Dark Chocolate Espresso,,,,,,,Taylor GS Mini 
Kakawa,,,,,,,Taylor GS Mini Mahogany Left-Handed 
Milk Chocolate Java / PNG,,,,,,,Taylor GS Mini Left-Handed 
Juliana,,,,,,,Taylor Baby Taylor 
Milk Chocolate & Nibs,,,,,,,Taylor 100 Series 2014 150e Dreadnought 12-String 
Java,,,,,,,The Loar LH-200 Small-Body 
Ivoire,,,,,,,The Loar LH-300 Archtop 
Carenero 70%,,,,,,,The Loar LH-250 Small Body 
Birmanie,,,,,,,Traveler Guitar Pro Series Travel 
Ecuador Camino Verde,,,,,,,Traveler Guitar Ultra-Light 
Ocumare w/ Nibs+Chili,,,,,,,Traveler Guitar Speedster Travel 
Black Beer,,,,,,,Traveler Guitar Escape Steel-String 
Nibs,,,,,,,Voyage-Air Guitar Songwriter VAD-04 Travel 
Madagascar Milk,,,,,,,Voyage-Air Guitar Songwriter VAOM-04 Travel 
Nicaliso,,,,,,,Washburn C40 Cadiz 
Indonesian 69,,,,,,,Washburn C64SCE 
Repubblica Dominicana,,,,,,,Washburn RX6 3/4-Size 
République de Madagascar,,,,,,,Washburn C80S Madrid 
Green Mango & Sea Salt,,,,,,,Washburn WD100DL Dreadnought Mahogany 
Lâm Đồng,,,,,,,Washburn Rover Travel Guitar
Duo 'n Madagascar,,,,,,,Washburn R314KK Parlor
Guanaja,,,,,,,Yamaha PAC012 
Bitter-Plus,,,,,,,Yamaha GigMaker Deluxe Acoustic Guitar Pack
Créole,,,,,,,Yamaha F335 
Bolivien 70,,,,,,,Yamaha GigMaker Acoustic Guitar Pack
Milk Chocolate,,,,,,,Yamaha PAC012DLX Pacifica Series HSS Deluxe Electric Guitar
Organic Milk,,,,,,,Yamaha APXT2 3/4 Thinline Acoustic-Electric Cutaway Guitar
Madagascar Sambirano,,,,,,,Yamaha SLG130NW Classical Style Silent Guitar
Fresco 217,,,,,,,Yamaha FG730S Solid Top 
Costa Rican 84%,,,,,,,Yamaha FG Series FGX720SCA
Nature,,,,,,,Yamaha NTX1200R Acoustic-Electric 
Esmeraldas Milk,,,,,,,Yamaha FG700S Folk 
Nacional,,,,,,,Yamaha JR1 Mini Folk Guitar
Walnuss & Cognac,,,,,,,Yamaha FG720S 12-String 
Piura Quemazón,,,,,,,Yamaha NTX700 Acoustic-Electric 
Unroasted Madagascar,,,,,,,Yamaha PAC112J 
Ecuador Balao,,,,,,,Yamaha CG102 
"DUARTE PROVINCE, DOMINICAN REPUBLIC",,,,,,,Yamaha CG192S Spruce Top 
Dark,,,,,,,
Milk,,,,,,,
Côte d'Ivoire 73,,,,,,,Model
Cuba,,,,,,,ADM 4/4 Full Size Wood
Chuao 70%,,,,,,,ADM 1/2 Half Size 
Zurawina,,,,,,,ADM 1/4 Size Handcrafted Solid Wood Student Starter Kit for Kids
São Tomé 78,,,,,,,ADM 1/10 Size Handcrafted Solid Wood Student Starter Kits
Trio of Peppers,,,,,,,Antonio Giuliani Etude Violin 
Raw 70% Cacao 2013,,,,,,,Becker 1600A 
Ivoire,,,,,,,Becker 1600F
Master Blend 70%,,,,,,,Becker 175F 
Milk,,,,,,,Bellafina BPVIA134OF
Chocolate Organica,,,,,,,Bellafina BPVIA144OF
Apurimac 100,,,,,,,Bellafina BPCK3814OF
White,,,,,,,Bentoni BNI-V4
Carmen,,,,,,,Bentoni BNI-V1
Dark Milk,,,,,,,Carlo Robelli CR113 
Peppermint,,,,,,,Carlo Robelli P108 
Carenero,,,,,,,Carlo Robelli CR301 
Complexité,,,,,,,Carlo Robelli P105
Dominican Republic,,,,,,,Cecilio 4/4CVNAE-White+SR 
Dông Nai,,,,,,,Cecilio 4/4CVNAE-Black+SR 
Mò Cày,,,,,,,Cecilio 4/4CVNAE-330+SR 
Milk Chocolate,,,,,,,Cecilio 4/4CVN-200 
Nib Clusters,,,,,,,Cecilio DA_4/4CVN-300+SR+92D+FB1
Dominicana 80%,,,,,,,Cecilio DA_3/4CVN-300+SR+92D+FB1
Breakfast Bar,,,,,,,Cecilio 4/4CVN-Black+SR+92D+FB1
Bolivie Silvestre,,,,,,,Cecilio DA_4/4CVN-Purple+SR+92D+FB1
The Goat,,,,,,,Cecilio 4/4CEVN-2NA 
Cafe,,,,,,,Cecilio 4/4CEVN-2BK 
Madagascar,,,,,,,Cecilio 4/4CEVN-1BK 
Passion Fruit,,,,,,,Cecilio 1/2CEVN-1W 
Sao Tome 70,,,,,,,Cecilio 3/4CEVN-2BL 
Cioccolatte,,,,,,,Cervini HV-500 3/4
Esmeraldas Milk,,,,,,,Cervini HV-500 1/2
Andean Royal Quinoa & Uyuni Salt,,,,,,,Cervini HV-300 1/4
Ziegenmilch,,,,,,,Cervini HV-100 
Mandel,,,,,,,Crescent VL-NR-PW
Chuao 76%,,,,,,,Crescent VL-NR3/4
Piura,,,,,,,Crescent VL-NR1/2
Criollo Dominican,,,,,,,Crescent VL-NR1/4
CSB Chama; Porcelana,,,,,,,Crescent B00HEPPWN4
Trinidad,,,,,,,Christina S800
Arriba 70%,,,,,,,Christina Velectric 
75%,,,,,,,Creative Concept Instruments BL7044 
Noir 81,,,,,,,Creative Concept Instruments SSG5044 
Dark Milk 60,,,,,,,Cremona SV-75BK
Carenero82,,,,,,,Cremona SV-100 1/10
Coffee Nibs,,,,,,,Cremona SV-130
Bourbon Cask Aged,,,,,,,Cremona SV-175 
Peru Cajamarca,,,,,,,Cremona SV-225 
Samoa 73% Vintage 2013,,,,,,,Cremona SV-500 
Dominica 84%,,,,,,,Cremona SV-600
Carupano,,,,,,,Cremona SV-800 
Bali Sukrama,,,,,,,"Cremona SV-1220 Maestro First Violin, 1/4-Size"
José,,,,,,,D Z Strad Violin Model 101
Ghana; Madagascar,,,,,,,D Z Strad N201 
Chuao,,,,,,,D'Luca CAD01 Orchestral Series Violin Outfit - 4/4
Dark Choc w/ Coffee Bits,,,,,,,D'Luca PROJBV44
Mad 65,,,,,,,D'Luca DL-45034 
Milk Chocolate,,,,,,,D'Luca DL-45018 
El Ceibo 71%,,,,,,,D'Luca POD01-4/4
Patanemo,,,,,,,Erwin Otto 1260RA 
Camahogne,,,,,,,Erwin Otto 8011A
Raisins & Hazelnuts,,,,,,,GLARRY 1/8 Acoustic Violin
Brandneuer Erdäpfelvodka,,,,,,,GLARRY 1/4 Acoustic Violin 
Madagascar Fall,,,,,,,Glarry 4/4 Classic 
3 Amigos,,,,,,,Gliga GVPA-1
Tobago Estate ,,,,,,,"Gliga Gama Strad Violin #132 by Alexi Strings W, Certificate of Authenticity"
EPOCH,,,,,,,GRACE 1/2 Size Natural Acoustic Violin with Case
Venezuela Patanemo,,,,,,,GRACE 1/8 Size Pink Acoustic Violin with Case
Nicaragua Matagalpa,,,,,,,Goplus® Durable 4/4 Full Size Natural Acoustic Violin Fiddle with Case Bow New
"Nicaragua: Chuno, Nicalizo, & Rugoso",,,,,,,Bunnel Pupil Violin 
Ocumare,,,,,,,Ricard Bunnel G2 Violin 
Lattenero 62%,,,,,,,Antonio Giuliani Etude Violin 4/4 (Full) Size
Cafe Noir 57%,,,,,,,Louis Carpini G2 Violin 
Raspberries in Dark,,,,,,,Louis Carpini G3 Violin 
Café,,,,,,,Franke Henner Violin Outfit
Apotequil,,,,,,,Mikhail Vitacek Violin Outfit
Jembrana,,,,,,,Nicholas Gand Violin Outfit
Classic Dark,,,,,,,Kinglos MS007
Double Chocolate Nibs,,,,,,,Kinglos HB1311
Tiền Giang 80%,,,,,,,Kinglos LONG0063
Saffron & Cranberry,,,,,,,Kinglos DSZA1201 
Grenada 70%,,,,,,,Kinglos SDDS1602
Africa,,,,,,,Mendini 4/4MV200+SR
Lindt 85,,,,,,,Mendini 1/2 MV200 
Ghana,,,,,,,Mendini 4/4 MV300 
Nibs,,,,,,,Mendini 3/4 MV300 
Lait Amer,,,,,,,Mendini 1/4 MV300 
Araguani,,,,,,,Mendini 1/8 MV300
Trinidad,,,,,,,Mendini 4/4 MV400
65% Rustic,,,,,,,Mendini 1/4 MV400 Ebony Fitted Solid Wood Violin with Hard Case
Kwiat Soli Morskiej,,,,,,,Mendini 4/4 MV500+92D 
70% Ecuadorian,,,,,,,Mendini 4/4 MV-Black 
Panama 70%,,,,,,,Mendini 4/4 MV-White 
Solomon Islands 75%,,,,,,,Mendini 4/4 MV-Blue 
Seeds,,,,,,,Mendini 4/4 MV-Pink 
Nonpareil,,,,,,,Mendini 1/4 MV-Pink 
Various Bars,,,,,,,Mendini 1/8 MV-Pink 
Asfarth,,,,,,,Merano MV10 
Esmeraldas,,,,,,,Merano MVE10BK 
Infernale Lait,,,,,,,Merano MV300BK 
Iara Vollmilch,,,,,,,Merano MVE20WT-A 
Equateur,,,,,,,Merano MV300PR 
Orange,,,,,,,Merano 4/4 Full Size Student Violin with Case 
Rajoles,,,,,,,Palatino VN-350-1/4 
Grenade,,,,,,,Palatino VN-450
Milk Chocolate,,,,,,,Palatino VN-1400 
